"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
60;"SW2, SW3";"R-667995_MIT";2;"R-667995";"R-667995";"Mitsumi Electric";"Fit"
61;"U1";"QFN40P180X180X55-12N";1;"FSUSB63UMX";"FSUSB63UMX";"onsemi";"Fit"
62;"U2";"U_LGA-14L_2p5X3p0X0p83_STM";1;"ISM6HG256XTR";"ISM6HG256XTR";"STMicro";"Fit"
63;"U3";"LGA-12_2X2X0P7_STM";1;"IIS2MDCTR";"IIS2MDCTR";"STMicro";"Fit"
64;"U4";"LGA9_BMP585_BOS";1;"BMP585";"BMP585";"Bosch";"Fit"
65;"U6, U7, U8, U10";"TSON Advance_TOS";4;"TPN4R712MD";"TPN4R712MD";"Toshiba";"Fit"
66;"U9";"TSON Advance_TOS";1;"CSD16323Q3";"CSD16323Q3";"TI";"Fit"
67;"U11";"8L_WSON_8x6x3p4x4p3_MAC";1;"GD5F2GQ5UEYIGR";"GD5F2GQ5UEYIGR";"GigaDevice";"Fit"
68;"U13, U16";"SOIC127P790X216-8N";2;"GD25Q128ESIG";"GD25Q128ESIG";"GigaDevice";"Fit"
69;"U14";"ANT_47948-0001_MOL";1;"479480001";"479480001";"Molex";"Fit"
70;"U15";"IC_ESP32-S3";1;"ESP32-S3RH2";"ESP32-S3RH2";"Espressif";"Fit"
71;"U17";"IC_ESP32-P4NRW32";1;"ESP32-P4NRW32";"ESP32-P4NRW32";"Espressif";"Fit"
72;"U18";"QFN50P300X300X100-17N";1;"TPS62152RGTR";"TPS62152RGTR";"TI";"Fit"
73;"U19";"IC_TPS259827LNRGER";1;"TPS259824LNRGET";"TPS259824LNRGET";"TI";"Fit"
74;"U20";"DRL0006A";1;"TLV62569DRLR";"TLV62569DRLR";"TI";"Fit"
75;"U21";"IC_TPS2121RUXR";1;"TPS2121RUXR";"TPS2121RUXR";"TI";"Fit"
76;"U23";"RGT16_1P7X1P7";1;"INA230AIRGTR";"INA230AIRGTR";"TI";"Fit"
77;"U26, U28";"IC_TPS22811LRPWR";2;"TPS22811LRPWR";"TPS22811LRPWR";"Texas Instruments";"Fit"
78;"U27, U29, U30";"SON65P200X200X80-7N";3;"TPS22810DRVR";"TPS22810DRVR";"Texas Instruments";"Fit"
79;"U47";"WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65";1;"TPS61094DSS";"TPS61094DSSR";"Texas Instruments";"Fit"
80;"Y1, Y3";"XTAL_SC-32S_3215";2;"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"Abracon";"Fit"
81;"Y2, Y4";"XTAL_ECS-400-10-37B2-CKY-TR";2;"ECS-400-10-37B2-CKY-TR";"ECS-400-10-37B2-CKY-TR";"ECS";"Fit"
82;"C141";"C_0805_2012Metric";1;"22 uF";"CL21A226KOQNNNE";"Samsung";"Fit"
